Embedded Platform Name,SMB Name,Loan Funded On,Loan Amount,Pipe Fees,Repaid Total So Far,Liquidity Risk,Revenue Drop Risk,Non-Payment Risk
Housecall Pro,SMB_73633,2024-11-18 17:39:41.176155,10398,1067.86,2358.440550647831,0,0,0
Priority,SMB_23789,2024-11-22 17:39:40.821389,9049,519.36,2084.928093360754,0,1,0
Housecall Pro,SMB_96601,2024-03-21 17:39:41.322032,14966,1373.94,13469.4,1,0,0
Housecall Pro,SMB_71453,2025-01-13 17:39:41.154973,29163,1559.99,3251.1224830269916,0,0,0
Priority,SMB_31322,2024-11-18 17:39:40.875226,23106,2453.87,6273.236221241679,0,0,0
Housecall Pro,SMB_98189,2024-08-18 17:39:41.333275,8677,866.85,3785.4277271514297,0,0,0
Boulevard,SMB_45352,2024-06-26 17:39:40.971553,21134,1355.35,14214.317318284124,0,0,0
Housecall Pro,SMB_91919,2024-03-11 17:39:41.292253,26501,2289.76,21600.648758184725,0,1,0
Housecall Pro,SMB_88805,2024-07-11 17:39:41.272990,29323,1477.63,15301.6336116719,0,0,0
Priority,SMB_28077,2024-10-31 17:39:40.851280,6899,615.55,1983.2524440921898,1,0,0
Priority,SMB_13913,2024-10-16 17:39:40.743518,31082,2119.82,9857.52702153087,0,0,0
Housecall Pro,SMB_77049,2024-03-15 17:39:41.196588,13869,732.42,11254.12588997193,0,0,0
Priority,SMB_9913,2024-06-22 17:39:40.715555,20424,2061.14,12018.104741340616,0,1,0
Boulevard,SMB_43663,2024-03-27 17:39:40.960203,22599,1867.13,19760.894826769298,0,0,0
Housecall Pro,SMB_57039,2024-12-10 17:39:41.056197,28454,3264.35,5150.645712929252,0,0,0
Housecall Pro,SMB_61113,2024-07-28 17:39:41.080238,22503,1145.5,12010.879050558875,0,0,0
Priority,SMB_32278,2024-08-01 17:39:40.881736,11537,590.97,5872.648403748316,1,0,0
Housecall Pro,SMB_77846,2024-10-24 17:39:41.201424,9411,1035.08,2779.4982422143567,0,0,0
Housecall Pro,SMB_87827,2024-10-17 17:39:41.266787,24030,1975.0,8780.172606434118,0,1,0
Priority,SMB_24369,2024-12-17 17:39:40.825138,18565,2060.98,3082.3751859231224,0,0,0
Boulevard,SMB_42032,2024-05-04 17:39:40.947582,11371,1076.4,8671.37348393351,0,0,0
Priority,SMB_36253,2024-09-10 17:39:40.906739,11526,1147.68,4519.893860106067,0,0,0
Housecall Pro,SMB_73034,2024-05-01 17:39:41.170360,21375,2007.82,16661.80245886482,0,0,0
Priority,SMB_17625,2024-12-07 17:39:40.771674,22000,1161.18,4400.6014756857785,0,1,0
Priority,SMB_33320,2024-05-12 17:39:40.888194,9128,747.27,5982.44080141002,1,0,0
Boulevard,SMB_48117,2024-03-14 17:39:40.990335,23089,2039.17,20153.80752920589,0,0,1
Housecall Pro,SMB_55800,2024-04-30 17:39:41.048780,32132,2405.44,26668.954247559042,0,1,0
Boulevard,SMB_40853,2024-10-22 17:39:40.939502,26237,2063.9,9326.739475512855,0,0,0
Housecall Pro,SMB_86893,2024-03-10 17:39:41.260790,27672,2225.88,23254.006787997023,0,0,0
Priority,SMB_21534,2024-12-16 17:39:40.799892,10832,1051.43,1919.958301513647,0,0,0
Priority,SMB_31736,2024-09-02 17:39:40.878374,11042,715.15,5093.870433018993,0,0,0
Priority,SMB_18043,2024-05-10 17:39:40.774837,15968,1273.74,11584.855132696739,0,0,0
Housecall Pro,SMB_56291,2024-10-15 17:39:41.051680,20653,1107.48,6565.405356603388,0,0,0
Boulevard,SMB_40981,2024-10-08 17:39:40.940503,22762,2650.83,7449.866301820528,1,0,0
Housecall Pro,SMB_74437,2024-09-19 17:39:41.181000,10483,796.52,4691.6112599256385,0,0,1
Priority,SMB_19256,2024-06-13 17:39:40.783898,8998,461.71,5982.370550013538,0,0,0
Housecall Pro,SMB_78387,2024-10-18 17:39:41.204570,21551,2065.95,7844.176376294746,0,0,0
Priority,SMB_24033,2024-04-29 17:39:40.823136,23377,1653.46,19354.332699323295,0,0,0
Priority,SMB_6990,2024-10-20 17:39:40.696309,27057,1749.89,8294.230577629936,0,0,0
Priority,SMB_14885,2024-08-31 17:39:40.750882,10555,537.85,5114.232713569191,0,0,0
Housecall Pro,SMB_78049,2024-03-03 17:39:41.202594,7078,707.57,5821.502751010157,0,0,1
Priority,SMB_26304,2024-11-26 17:39:40.837906,16338,1060.15,4132.356093726192,0,0,0
Housecall Pro,SMB_73004,2024-09-29 17:39:41.170067,22880,1333.89,8550.413014398137,0,0,0
Housecall Pro,SMB_84494,2024-10-08 17:39:41.246094,9603,935.64,3688.8956758889126,0,0,0
Housecall Pro,SMB_76573,2024-08-11 17:39:41.193900,10962,654.46,5962.791414210157,0,0,0
Housecall Pro,SMB_66045,2024-06-19 17:39:41.110483,32119,3675.31,20785.73420090363,0,0,0
Housecall Pro,SMB_57336,2024-06-22 17:39:41.058031,13187,870.96,9141.957609933666,0,0,0
Priority,SMB_29392,2024-04-02 17:39:40.861177,11155,859.99,8901.886672346514,1,0,0
Housecall Pro,SMB_80121,2024-07-20 17:39:41.216437,27123,1591.81,13913.055964703764,0,0,0
Priority,SMB_26518,2024-08-14 17:39:40.839279,18029,1658.53,9460.749271966248,0,1,0
Priority,SMB_23057,2024-10-24 17:39:40.815592,17865,987.47,6179.944583407016,0,0,0
Housecall Pro,SMB_91958,2024-11-11 17:39:41.292468,9400,1111.6,2459.6297893531455,0,0,0
Priority,SMB_18237,2024-05-08 17:39:40.776404,20008,1164.46,15314.262460566,0,0,0
Housecall Pro,SMB_63236,2024-05-19 17:39:41.093322,27763,2744.33,19635.051813051225,0,0,0
Priority,SMB_21373,2024-11-05 17:39:40.797974,28543,1974.53,8337.852751464538,0,0,0
Housecall Pro,SMB_66953,2024-06-21 17:39:41.115846,22106,2646.14,14754.415575624196,0,0,0
Priority,SMB_37291,2024-03-10 17:39:40.913948,23317,1363.83,18700.191743257205,0,0,0
Priority,SMB_8389,2024-12-04 17:39:40.704687,15933,1841.52,3140.441011973792,0,0,1
Housecall Pro,SMB_79430,2024-05-31 17:39:41.211366,19670,1788.56,14842.325967728455,0,0,0
Boulevard,SMB_45143,2024-05-29 17:39:40.970057,11253,1142.54,7321.183074188967,0,0,0
Priority,SMB_24414,2024-03-23 17:39:40.825411,32172,3549.31,24734.194862687073,0,0,0
Priority,SMB_14913,2024-10-31 17:39:40.751235,18549,986.74,6067.460016705579,0,0,1
Housecall Pro,SMB_60782,2025-01-17 17:39:41.078269,29856,2716.48,2852.0315793596114,0,1,0
Housecall Pro,SMB_92266,2024-05-24 17:39:41.294435,20076,1310.15,12585.371916013153,0,0,0
Priority,SMB_4383,2024-10-16 17:39:40.675482,25884,2523.5,8312.275841589184,0,0,0
Housecall Pro,SMB_76049,2024-07-01 17:39:41.190699,8981,995.97,5222.163528323732,0,0,0
Boulevard,SMB_47713,2024-08-10 17:39:40.987748,12216,1031.77,6117.364012980278,0,0,0
Priority,SMB_2038,2024-05-29 17:39:40.658986,16728,2002.55,11201.916943601056,1,0,0
Priority,SMB_10698,2025-01-18 17:39:40.722189,10649,641.0,1212.539677570409,0,0,1
Housecall Pro,SMB_52874,2024-11-05 17:39:41.025927,29724,2838.75,9203.206806707722,0,1,0
Housecall Pro,SMB_86201,2024-07-31 17:39:41.256477,10604,976.69,5863.815806790669,0,0,0
Housecall Pro,SMB_62803,2024-12-21 17:39:41.090463,25680,2613.34,4232.239917457406,0,0,1
Housecall Pro,SMB_78436,2024-07-08 17:39:41.204869,19225,1680.47,12228.657816810875,0,0,0
Priority,SMB_29343,2024-05-25 17:39:40.860764,11087,911.07,7486.039924752595,0,0,0
Housecall Pro,SMB_67140,2024-11-28 17:39:41.116911,31637,2847.02,7451.569151770427,1,0,0
Priority,SMB_31410,2024-04-15 17:39:40.876080,9194,513.01,6531.772329873397,0,0,0
Boulevard,SMB_44202,2024-11-25 17:39:40.963758,27202,2275.79,5948.1877146990855,1,0,0
Housecall Pro,SMB_96073,2024-05-23 17:39:41.318693,16772,1977.13,12029.352195609654,0,0,0
Housecall Pro,SMB_75597,2024-09-22 17:39:41.188058,23798,2645.73,10148.862194389516,0,0,0
Priority,SMB_21496,2024-08-17 17:39:40.799324,31716,2386.13,13855.552374588355,1,0,0
Housecall Pro,SMB_53528,2024-09-08 17:39:41.030954,25603,2300.79,10544.538978857528,0,0,0
Priority,SMB_5971,2024-08-30 17:39:40.689939,9105,810.66,4249.780446289404,0,1,0
Priority,SMB_5134,2024-07-27 17:39:40.682769,27505,2942.58,15763.571230033895,0,0,0
Housecall Pro,SMB_70463,2024-06-16 17:39:41.145372,32161,2670.66,18563.609520861086,1,0,0
Housecall Pro,SMB_71091,2024-03-26 17:39:41.151420,9104,995.57,8193.6,0,0,0
Priority,SMB_38885,2024-08-26 17:39:40.925191,29300,2229.25,13247.71483907134,0,0,1
Priority,SMB_10669,2024-09-01 17:39:40.721909,12797,858.39,5859.39873443635,0,0,0
Priority,SMB_5519,2024-10-15 17:39:40.686514,17580,1780.38,5710.259202924068,0,0,0
Housecall Pro,SMB_65289,2024-09-21 17:39:41.105958,7941,612.43,3384.0604379018496,1,0,0
Priority,SMB_31124,2024-06-11 17:39:40.873863,29168,3464.88,20467.046985137116,0,0,0
Housecall Pro,SMB_83512,2024-10-22 17:39:41.240016,12990,1154.23,4050.161012467536,0,0,0
Housecall Pro,SMB_54010,2024-12-21 17:39:41.037896,10314,1009.49,1864.2178201833278,0,0,0
Priority,SMB_29958,2024-04-26 17:39:40.865100,28513,2874.5,23879.279639106866,0,0,0
Boulevard,SMB_43674,2024-11-23 17:39:40.960308,7263,545.4,1667.8112241640533,0,0,0
Housecall Pro,SMB_86528,2024-05-08 17:39:41.258554,11100,1250.27,7622.466575673266,0,0,0
Housecall Pro,SMB_54688,2024-09-10 17:39:41.041986,10126,551.42,4037.314357101471,0,0,0
Housecall Pro,SMB_92021,2024-10-28 17:39:41.292870,14635,1461.74,4849.654632736329,0,0,0
Priority,SMB_12515,2024-06-04 17:39:40.734533,6864,791.76,4702.526712673518,0,0,0
Housecall Pro,SMB_98238,2024-09-05 17:39:41.333610,22716,1875.07,9153.44944684076,0,0,0
Priority,SMB_21823,2024-09-06 17:39:40.802047,28695,2077.04,13171.076252559551,0,0,0
Priority,SMB_33135,2024-05-06 17:39:40.887114,21436,1542.73,14387.531983572757,0,0,0
Boulevard,SMB_42785,2024-11-20 17:39:40.953259,13087,797.1,3538.3426458326626,0,0,0
Housecall Pro,SMB_83307,2024-10-02 17:39:41.238468,29697,3066.17,11342.16382521968,0,0,0
Housecall Pro,SMB_94269,2024-03-07 17:39:41.306815,14027,1528.67,12624.300000000001,1,0,0
Housecall Pro,SMB_60021,2024-10-08 17:39:41.073899,18292,1707.88,7086.4287536678785,0,0,1
Boulevard,SMB_43982,2024-06-16 17:39:40.962355,12912,757.34,8375.123099073939,0,0,0
Housecall Pro,SMB_60831,2024-10-08 17:39:41.078538,31877,3412.72,11266.790567842665,0,0,0
Priority,SMB_20089,2024-09-04 17:39:40.789222,12960,1202.12,5626.80363461255,0,0,0
Priority,SMB_2451,2024-09-28 17:39:40.661512,7558,634.77,2628.6292077967796,0,0,0
Housecall Pro,SMB_62019,2025-01-14 17:39:41.085637,20808,2166.58,2296.4273029680585,1,0,0
Priority,SMB_6478,2024-03-27 17:39:40.693349,27814,2901.95,21995.82014193329,0,0,0
Housecall Pro,SMB_89246,2024-04-22 17:39:41.275817,11236,1279.7,8709.106172770136,0,0,0
Priority,SMB_23814,2024-07-05 17:39:40.821621,12287,1294.85,7005.727831403872,1,0,0
Boulevard,SMB_46019,2024-04-20 17:39:40.975721,22214,1568.46,16708.568830251275,0,0,0
Boulevard,SMB_46672,2024-10-21 17:39:40.980391,32367,2156.45,9800.066488819633,0,0,0
Housecall Pro,SMB_74795,2024-05-28 17:39:41.183067,13790,1600.37,10532.477221582418,0,0,1
Housecall Pro,SMB_94037,2024-10-01 17:39:41.305396,18080,2035.82,6249.878763358586,0,0,0
Priority,SMB_22430,2024-08-22 17:39:40.807126,13460,1241.0,6894.858336619003,0,0,0
Priority,SMB_582,2024-08-11 17:39:40.648286,8725,766.2,4464.330628706783,0,0,0
Priority,SMB_24764,2024-08-08 17:39:40.827645,30489,2748.41,14900.040671111974,0,0,0
Boulevard,SMB_50364,2024-07-13 17:39:41.007335,30975,3324.44,19559.17458603448,0,0,0
Priority,SMB_12104,2024-05-01 17:39:40.731661,11784,1083.26,8297.997563707451,0,0,0
Boulevard,SMB_51115,2024-11-20 17:39:41.012278,20225,2086.03,5040.912546527681,1,0,0
Priority,SMB_35958,2024-06-08 17:39:40.904839,14598,1720.48,10573.61427581198,0,0,0
Housecall Pro,SMB_67600,2024-11-28 17:39:41.119581,24921,2137.88,5971.9282964091,0,0,0
Housecall Pro,SMB_62847,2025-01-27 17:39:41.090708,30557,3029.21,2708.2114948060835,0,1,0
Priority,SMB_23709,2024-07-26 17:39:40.820729,23657,2693.73,12180.405859965147,0,0,0
Housecall Pro,SMB_70871,2024-03-26 17:39:41.149344,26881,2950.46,21771.671238264087,0,0,0
Priority,SMB_767,2024-12-25 17:39:40.649402,23626,2160.92,3451.266647709241,0,0,0
Priority,SMB_10057,2024-03-10 17:39:40.716469,14497,1013.25,13047.300000000001,0,0,1
Priority,SMB_30451,2024-12-30 17:39:40.868675,21707,1130.8,3601.443121998292,0,0,0
Housecall Pro,SMB_59541,2024-12-30 17:39:41.071158,11347,811.03,1773.6954832503911,0,1,0
Priority,SMB_34303,2024-09-18 17:39:40.894383,8867,892.06,3487.3310114428223,0,0,0
Priority,SMB_26430,2024-06-15 17:39:40.838723,29267,2901.19,17387.83997849784,0,0,0
Priority,SMB_7809,2024-03-31 17:39:40.701015,30613,2724.35,24206.654404842862,1,0,0
Housecall Pro,SMB_96631,2024-11-11 17:39:41.322201,27692,2007.97,7642.40398796822,0,0,0
Housecall Pro,SMB_61223,2025-01-17 17:39:41.080867,13528,1257.51,1429.4403929911862,0,0,0
Housecall Pro,SMB_74925,2024-07-08 17:39:41.183824,15785,1037.22,8303.939639407612,0,0,0
Housecall Pro,SMB_67315,2024-05-25 17:39:41.117932,9236,989.28,7154.547925465819,0,0,0
Priority,SMB_21274,2025-01-27 17:39:40.796412,13290,842.2,1126.2141735471548,0,0,0
Housecall Pro,SMB_83430,2024-04-17 17:39:41.239504,25748,2943.49,19306.73646686832,1,0,0
Priority,SMB_19262,2024-06-29 17:39:40.783931,10627,564.24,6962.749992258711,0,0,0
Priority,SMB_11281,2025-01-20 17:39:40.726377,15879,1244.68,1599.9103674487537,0,0,0
Housecall Pro,SMB_90847,2024-12-21 17:39:41.285455,7159,544.55,1128.263546208771,0,0,0
Priority,SMB_15850,2024-07-17 17:39:40.758575,20002,2038.68,11660.058295123063,0,0,0
Priority,SMB_26706,2024-09-23 17:39:40.840618,31722,2158.67,13693.386036237584,0,0,0
Housecall Pro,SMB_83502,2024-11-07 17:39:41.239950,13874,915.31,4058.20488199265,0,0,0
Priority,SMB_22960,2024-08-19 17:39:40.814405,26040,2161.75,13485.674941153855,0,0,0
Housecall Pro,SMB_84748,2024-04-08 17:39:41.247669,29073,1882.11,23902.008376141257,0,0,0
Priority,SMB_22365,2024-07-14 17:39:40.806329,28173,2076.79,15688.563022180806,0,0,0
Housecall Pro,SMB_78458,2024-12-22 17:39:41.205176,22666,1868.72,3804.100359919036,0,0,0
Housecall Pro,SMB_55856,2024-06-18 17:39:41.049145,22285,2260.3,14426.233759991446,0,0,0
Priority,SMB_12313,2024-12-23 17:39:40.733102,29493,1653.73,4459.351909625668,0,0,0
Boulevard,SMB_42344,2024-06-02 17:39:40.949902,7965,868.76,5960.036459893882,0,0,0
Housecall Pro,SMB_72261,2024-08-14 17:39:41.162865,28322,1648.41,14155.202117710338,0,0,0
Priority,SMB_8282,2024-05-28 17:39:40.703753,30631,2263.46,21963.357324647684,0,0,0
Housecall Pro,SMB_85711,2024-12-22 17:39:41.253473,11938,668.23,1840.7282657524713,0,0,0
Housecall Pro,SMB_84467,2024-10-15 17:39:41.245942,6997,377.47,2532.0974966078,0,0,0
Housecall Pro,SMB_84044,2024-07-14 17:39:41.243349,24100,2773.51,12893.32691565851,0,0,0
Priority,SMB_33077,2024-10-10 17:39:40.886788,26061,1975.01,9937.605490380245,0,0,0
Housecall Pro,SMB_81652,2024-03-02 17:39:41.227072,21056,2421.18,18950.4,0,0,0
Priority,SMB_22611,2024-10-02 17:39:40.809317,26717,2263.23,9239.165536003698,0,0,0
Housecall Pro,SMB_65705,2024-04-07 17:39:41.108389,28369,2125.92,20642.09999052723,0,0,0
Housecall Pro,SMB_91999,2024-10-20 17:39:41.292723,18697,1943.26,6569.915249491018,0,0,0
Housecall Pro,SMB_52354,2024-08-02 17:39:41.022097,29221,1492.03,16434.129887584397,0,0,0
Priority,SMB_19826,2024-10-17 17:39:40.787504,26618,2324.89,8257.504148958627,0,0,0
Housecall Pro,SMB_53108,2024-04-12 17:39:41.027938,11121,1228.2,8660.551926129587,0,0,0
Priority,SMB_26775,2024-04-13 17:39:40.841091,22524,2309.54,16718.383327488926,0,0,0
Housecall Pro,SMB_89491,2024-07-01 17:39:41.277466,26899,2064.06,16654.376708289972,0,0,0
Housecall Pro,SMB_93353,2024-12-03 17:39:41.300909,18772,956.74,3674.1438703765684,0,0,0
Priority,SMB_15725,2024-09-16 17:39:40.757782,8943,863.91,3895.8082549336114,0,0,0
Housecall Pro,SMB_83171,2024-03-29 17:39:41.237119,8361,642.6,7125.097202547798,0,0,0
Priority,SMB_14099,2024-05-27 17:39:40.744889,15072,1749.53,11253.994586655564,0,0,0
Boulevard,SMB_48824,2024-09-10 17:39:40.995422,30144,3440.04,13868.461657579104,0,0,0
Priority,SMB_32108,2024-10-14 17:39:40.880688,26187,2888.7,8893.329866464432,0,0,0
Housecall Pro,SMB_90554,2024-05-12 17:39:41.283744,17727,2098.32,14335.115018156528,0,0,0
Housecall Pro,SMB_66143,2024-07-16 17:39:41.111048,17490,1471.28,10397.030753105728,0,0,0
Priority,SMB_1282,2024-07-16 17:39:40.653878,19116,1493.47,11335.909999525928,0,0,0
Priority,SMB_15192,2024-08-18 17:39:40.753675,23951,2259.06,12293.483468625756,1,0,0
Priority,SMB_38064,2024-06-02 17:39:40.919170,16396,1350.04,9911.074157465975,0,0,0
Priority,SMB_37391,2025-01-13 17:39:40.914701,22037,1384.77,2254.092537160497,0,0,0
Housecall Pro,SMB_83896,2024-10-12 17:39:41.242441,21201,1756.19,7293.0718941553105,1,0,0
Housecall Pro,SMB_56802,2024-06-27 17:39:41.054810,22926,1738.08,15489.770710738901,0,1,0
Housecall Pro,SMB_53659,2024-10-08 17:39:41.031897,17348,932.57,5810.647052400941,0,1,0
Priority,SMB_16500,2024-07-10 17:39:40.763226,6817,603.55,4346.8594532398,0,1,0
Boulevard,SMB_43479,2024-06-06 17:39:40.958906,12602,918.27,9094.87425784908,0,0,0
Priority,SMB_14785,2024-07-20 17:39:40.749945,11380,808.91,5840.3791894840715,0,0,0
Priority,SMB_27653,2024-09-19 17:39:40.848385,27228,2423.1,11401.416885695935,0,0,0
Priority,SMB_21887,2025-01-23 17:39:40.802657,11339,731.89,1003.8407579877935,0,0,0
Housecall Pro,SMB_85085,2024-04-12 17:39:41.249701,9020,817.92,7404.92835338096,0,0,0
Boulevard,SMB_47005,2024-11-18 17:39:40.982748,24921,2792.5,6195.978813873784,0,0,0
Priority,SMB_38844,2025-01-03 17:39:40.924773,9649,821.04,1386.5589297061456,0,0,0
Boulevard,SMB_47740,2025-01-29 17:39:40.987953,32042,1975.58,2417.749888530066,1,0,0
Housecall Pro,SMB_60512,2024-11-02 17:39:41.076657,12826,785.7,4085.398386737099,0,0,0
Housecall Pro,SMB_92612,2024-07-13 17:39:41.296507,21541,2244.89,12623.911301955744,1,0,0
Housecall Pro,SMB_87339,2024-08-28 17:39:41.263594,18333,1745.19,7751.456764928879,0,0,0
Priority,SMB_24590,2024-05-08 17:39:40.826483,27718,1770.52,19537.422447719084,1,0,0
Priority,SMB_26253,2024-05-20 17:39:40.837625,21431,2406.23,15838.803213644669,0,0,0
Priority,SMB_15855,2024-07-28 17:39:40.758602,16297,903.48,8078.113231659933,1,0,0
Housecall Pro,SMB_57502,2024-03-25 17:39:41.059052,17942,1829.14,15172.043317554322,0,1,0
Housecall Pro,SMB_73296,2024-05-20 17:39:41.172898,16246,1433.74,11322.109670310321,0,1,0
Priority,SMB_13452,2024-04-22 17:39:40.740394,11643,832.38,8417.408041867067,0,0,0
Housecall Pro,SMB_93422,2024-06-11 17:39:41.301433,20863,2130.95,13130.145397674178,0,0,0
Housecall Pro,SMB_84564,2024-10-06 17:39:41.246578,24431,2807.46,8996.302065499494,1,0,0
Priority,SMB_30599,2024-04-04 17:39:40.869842,15804,1370.23,12237.935951751497,0,0,0
Housecall Pro,SMB_99880,2024-08-15 17:39:41.343921,13039,744.19,6569.055635271171,1,0,0
Housecall Pro,SMB_79686,2024-04-24 17:39:41.213300,21895,1470.2,17976.501458572988,0,0,0
Housecall Pro,SMB_55784,2024-08-08 17:39:41.048681,10787,975.61,5297.451288598082,0,0,0
Priority,SMB_23077,2025-01-04 17:39:40.815834,11998,1279.7,1631.2730781674827,1,0,0
Priority,SMB_14005,2024-10-02 17:39:40.744114,29734,2376.04,11819.651465528286,0,0,0
Housecall Pro,SMB_93266,2024-10-20 17:39:41.300388,12156,706.38,3560.0905266264726,0,0,0
Boulevard,SMB_42253,2024-11-22 17:39:40.949218,27570,3277.87,6670.481872396613,0,0,0
Housecall Pro,SMB_61650,2024-04-18 17:39:41.083271,15095,872.61,13058.59749488928,0,0,0
Priority,SMB_9609,2024-12-13 17:39:40.713748,15747,1009.39,2861.080152543979,0,0,0
Housecall Pro,SMB_64997,2024-04-15 17:39:41.104156,20607,1061.98,15590.742475408055,0,0,0
Housecall Pro,SMB_81967,2024-08-01 17:39:41.229076,12932,657.78,6543.140475044446,1,0,0
Boulevard,SMB_45479,2024-08-30 17:39:40.972379,26302,2296.85,12857.71353173989,0,0,1
Priority,SMB_17690,2024-04-05 17:39:40.772192,13421,1099.01,10910.30121943576,0,0,0
Priority,SMB_4914,2024-08-17 17:39:40.680625,17286,1897.38,9310.341348775333,0,0,0
Boulevard,SMB_44273,2024-09-20 17:39:40.964163,17306,2075.78,7594.366757814106,1,0,0
Housecall Pro,SMB_93803,2024-08-28 17:39:41.303920,18353,947.89,8277.578417207913,0,1,0
Housecall Pro,SMB_56541,2024-10-03 17:39:41.053208,22381,2418.4,8377.37301897755,0,0,0
Housecall Pro,SMB_90596,2024-08-04 17:39:41.283967,25743,1364.01,13453.288796460616,0,0,0
Housecall Pro,SMB_93976,2024-03-17 17:39:41.305022,31792,1812.06,28612.8,0,0,0
Housecall Pro,SMB_98648,2024-09-25 17:39:41.336213,26689,2120.55,10156.57936298683,0,0,0
Housecall Pro,SMB_76208,2024-04-10 17:39:41.191637,26760,2817.03,23787.044696060602,1,0,0
Housecall Pro,SMB_68631,2024-04-10 17:39:41.127379,16893,1263.64,13404.382988483618,0,0,0
Housecall Pro,SMB_64322,2024-08-15 17:39:41.100144,11246,764.62,5634.7411623755215,0,1,0
Priority,SMB_36691,2024-07-21 17:39:40.909827,31529,3311.48,19390.936548291374,0,0,0
Priority,SMB_36240,2024-08-12 17:39:40.906658,9478,923.41,4595.542183362679,0,1,0
